date,totalLiquidityUSD
2024-10-17 00:00:00,3243767715
2024-10-18 00:00:00,3220616264
2024-10-19 00:00:00,3266395512
2024-10-20 00:00:00,3245399334
2024-10-21 00:00:00,3309008158
2024-10-22 00:00:00,3165778353
2024-10-23 00:00:00,3185572849
2024-10-24 00:00:00,3006056409
2024-10-25 00:00:00,3039866992
2024-10-26 00:00:00,2966091464
2024-10-27 00:00:00,2953108897
2024-10-28 00:00:00,3036692511
2024-10-29 00:00:00,3071288593
2024-10-30 00:00:00,3184546052
2024-10-31 00:00:00,3140230782
2024-11-01 00:00:00,3041896214
2024-11-02 00:00:00,3024801413
2024-11-03 00:00:00,3001233776
2024-11-04 00:00:00,2929136182
2024-11-05 00:00:00,2855497717
2024-11-06 00:00:00,2973661505
2024-11-07 00:00:00,3224115781
2024-11-08 00:00:00,3302881345
2024-11-09 00:00:00,3410872529
2024-11-11 00:00:00,3530921981
2024-11-12 00:00:00,3631327641
2024-11-13 00:00:00,3664205617
2024-11-14 00:00:00,3545035025
2024-11-15 00:00:00,3514317051
2024-11-16 00:00:00,3554590296
2024-11-17 00:00:00,3619857923
2024-11-18 00:00:00,3556428036
2024-11-19 00:00:00,3592305826
2024-11-20 00:00:00,3561998338
2024-11-21 00:00:00,3529536531
2024-11-22 00:00:00,3747866327
2024-11-23 00:00:00,3777296185
2024-11-24 00:00:00,3702363667
2024-11-25 00:00:00,3691287007
2024-11-26 00:00:00,3776373145
2024-11-27 00:00:00,3728088314
2024-11-28 00:00:00,3946431437
2024-11-29 00:00:00,3876863019
2024-11-30 00:00:00,3899449582
2024-12-01 00:00:00,3983063130
2024-12-02 00:00:00,4024951610
2024-12-03 00:00:00,3965251047
2024-12-04 00:00:00,4027347573
2024-12-05 00:00:00,4195062117
2024-12-06 00:00:00,4023599207
2024-12-07 00:00:00,4152612253
2024-12-08 00:00:00,4103514276
2024-12-09 00:00:00,4137820228
2024-12-10 00:00:00,3862613001
2024-12-11 00:00:00,3851241292
2024-12-12 00:00:00,4047218764
2024-12-13 00:00:00,4120207599
2024-12-14 00:00:00,4145954887
2024-12-15 00:00:00,4144745295
2024-12-16 00:00:00,4191010129
2024-12-17 00:00:00,4202671945
2024-12-18 00:00:00,4038224638
2024-12-19 00:00:00,3978446251
2024-12-20 00:00:00,3780750603
2024-12-21 00:00:00,3583658895
2024-12-22 00:00:00,3482841590
2024-12-23 00:00:00,3486801499
2024-12-24 00:00:00,3608098770
2024-12-25 00:00:00,3724663162
2024-12-26 00:00:00,3729487864
2024-12-27 00:00:00,3567570456
2024-12-28 00:00:00,3633132070
2024-12-29 00:00:00,3725260054
2024-12-30 00:00:00,3677630037
2024-12-31 00:00:00,3674061577
2025-01-01 00:00:00,3622725448
2025-01-02 00:00:00,3667236961
2025-01-03 00:00:00,3756321326
2025-01-04 00:00:00,3894224558
2025-01-05 00:00:00,3874168196
2025-01-06 00:00:00,3923309842
2025-01-07 00:00:00,3989439258
2025-01-08 00:00:00,3764589648
2025-01-09 00:00:00,3837762013
2025-01-10 00:00:00,3741416946
2025-01-11 00:00:00,3851329620
2025-01-12 00:00:00,3812617583
2025-01-13 00:00:00,3746628599
2025-01-14 00:00:00,3668065249
2025-01-15 00:00:00,3804762841
2025-01-16 00:00:00,3996078089
2025-01-17 00:00:00,3915026843
2025-01-18 00:00:00,3818931295
2025-01-19 00:00:00,3804519871
2025-01-20 00:00:00,3653452342
2025-01-21 00:00:00,3671805582
2025-01-22 00:00:00,3731339954
2025-01-23 00:00:00,3677477003
2025-01-24 00:00:00,3733825440
2025-01-25 00:00:00,3756928264
2025-01-26 00:00:00,3775373600
2025-01-27 00:00:00,3716885758
2025-01-28 00:00:00,3613196985
2025-01-29 00:00:00,3537454399
2025-01-30 00:00:00,3628824367
2025-01-31 00:00:00,3727003738
2025-02-01 00:00:00,3734914697
2025-02-02 00:00:00,3536222713
2025-02-03 00:00:00,3220487495
2025-02-04 00:00:00,3304128504
2025-02-05 00:00:00,3233075860
2025-02-06 00:00:00,3284768736
2025-02-07 00:00:00,3203975743
2025-02-08 00:00:00,3168427913
2025-02-09 00:00:00,3185290713
2025-02-10 00:00:00,3165533698
2025-02-11 00:00:00,3205133737
2025-02-12 00:00:00,3163339239
2025-02-13 00:00:00,3183892379
2025-02-14 00:00:00,3145426149
2025-02-15 00:00:00,3199993857
2025-02-16 00:00:00,3203590084
2025-02-17 00:00:00,3252064137
2025-02-18 00:00:00,3200039525
2025-02-19 00:00:00,3161547921
2025-02-20 00:00:00,3172322235
2025-02-21 00:00:00,3227308557
2025-02-22 00:00:00,3158155009
2025-02-23 00:00:00,3242975151
2025-02-24 00:00:00,3277858888
2025-02-25 00:00:00,2926696245
2025-02-26 00:00:00,2997545440
2025-02-27 00:00:00,2861103006
2025-02-28 00:00:00,2847289462
2025-03-01 00:00:00,2803790748
2025-03-02 00:00:00,2735024521
2025-03-03 00:00:00,3031882408
2025-03-04 00:00:00,2751183786
2025-03-05 00:00:00,2796075065
2025-03-06 00:00:00,2889172224
2025-03-07 00:00:00,2797289542
2025-03-08 00:00:00,2792881025
2025-03-09 00:00:00,2833385011
2025-03-10 00:00:00,2665321948
2025-03-11 00:00:00,2485441548
2025-03-12 00:00:00,2594413449
2025-03-13 00:00:00,2547089711
2025-03-14 00:00:00,2493993053
2025-03-15 00:00:00,2563116397
2025-03-16 00:00:00,2828159373
2025-03-17 00:00:00,2758941867
2025-03-18 00:00:00,2825876186
2025-03-19 00:00:00,2792669382
2025-03-20 00:00:00,2889195057
2025-03-21 00:00:00,2722259197
2025-03-22 00:00:00,2817750137
2025-03-23 00:00:00,2757400041
